lr,hidden_sizes,dropout_rate,optimizer,scheduler,weight_decay,batch_size,best_val_loss,best_epoch
0.0001,"[128, 64]",0.2,Adam,,0.001,64,7572.914531612817,19
0.0001,"[128, 64]",0.2,Adam,CosineAnnealingLR,0.0001,32,7647.746921727502,12
0.0001,"[128, 64]",0.2,Adam,CosineAnnealingLR,0.0001,64,7573.123002510946,17
0.0001,"[128, 64]",0.2,Adam,CosineAnnealingLR,0.001,32,7673.562856572377,12
0.0001,"[128, 64]",0.2,Adam,CosineAnnealingLR,0.001,64,7574.058145900311,24
0.0001,"[128, 64]",0.2,Adam,ReduceLROnPlateau,0.0001,32,7665.419561765355,19
0.0001,"[128, 64]",0.2,Adam,ReduceLROnPlateau,0.0001,64,7644.533444943676,15
0.0001,"[128, 64]",0.2,Adam,ReduceLROnPlateau,0.001,32,7688.246223996539,11
0.0001,"[128, 64]",0.2,Adam,ReduceLROnPlateau,0.001,64,7526.782618428508,36
0.0001,"[128, 64]",0.2,AdamW,,0.0001,32,7721.954009257603,10
0.0001,"[128, 64]",0.2,AdamW,,0.0001,64,7554.222515510227,25
0.0001,"[128, 64]",0.2,AdamW,,0.001,32,7672.917305166513,14
0.0001,"[128, 64]",0.2,AdamW,,0.001,64,7544.604002384632,30
0.0001,"[128, 64]",0.2,AdamW,CosineAnnealingLR,0.0001,32,7845.730974579259,5
0.0001,"[128, 64]",0.2,AdamW,CosineAnnealingLR,0.0001,64,7528.600558943604,29
0.0001,"[128, 64]",0.2,AdamW,CosineAnnealingLR,0.001,32,7671.9017006391905,14
0.0001,"[128, 64]",0.2,AdamW,CosineAnnealingLR,0.001,64,7533.6649150605235,31
0.0001,"[128, 64]",0.2,AdamW,ReduceLROnPlateau,0.0001,32,7759.226336114877,16
0.0001,"[128, 64]",0.2,AdamW,ReduceLROnPlateau,0.0001,64,7524.934522786642,24
0.0001,"[128, 64]",0.2,AdamW,ReduceLROnPlateau,0.001,32,7601.234023802688,22
0.0001,"[128, 64]",0.2,AdamW,ReduceLROnPlateau,0.001,64,7584.397245223464,20
0.0001,"[128, 64]",0.3,Adam,,0.0001,32,7777.902990160942,9
0.0001,"[128, 64]",0.3,Adam,,0.0001,64,7601.93777825846,30
0.0001,"[128, 64]",0.3,Adam,,0.001,32,7733.093115070356,16
0.0001,"[128, 64]",0.3,Adam,,0.001,64,7620.260692547186,20
0.0001,"[128, 64]",0.3,Adam,CosineAnnealingLR,0.0001,32,7643.303872881117,17
0.0001,"[128, 64]",0.3,Adam,CosineAnnealingLR,0.0001,64,7679.167382452845,13
0.0001,"[128, 64]",0.3,Adam,CosineAnnealingLR,0.001,32,7690.238519649975,15
0.0001,"[128, 64]",0.3,Adam,CosineAnnealingLR,0.001,64,7562.470350781535,31
0.0001,"[128, 64]",0.3,Adam,ReduceLROnPlateau,0.0001,32,7687.738980304968,14
0.0001,"[128, 64]",0.3,Adam,ReduceLROnPlateau,0.0001,64,7551.093540016732,36
0.0001,"[128, 64]",0.3,Adam,ReduceLROnPlateau,0.001,32,7663.2357903220045,16
0.0001,"[128, 64]",0.3,Adam,ReduceLROnPlateau,0.001,64,7600.8891518762775,31
0.0001,"[128, 64]",0.3,AdamW,,0.0001,32,7693.681668132689,18
0.0001,"[128, 64]",0.3,AdamW,,0.0001,64,7620.960231963334,20
0.0001,"[128, 64]",0.3,AdamW,,0.001,32,7738.634708534688,14
0.0001,"[128, 64]",0.3,AdamW,,0.001,64,7566.236256174211,29
0.0001,"[128, 64]",0.3,AdamW,CosineAnnealingLR,0.0001,32,7717.996784920221,16
0.0001,"[128, 64]",0.3,AdamW,CosineAnnealingLR,0.0001,64,7579.113159105583,35
0.0001,"[128, 64]",0.3,AdamW,CosineAnnealingLR,0.001,32,7669.271637267955,19
0.0001,"[128, 64]",0.3,AdamW,CosineAnnealingLR,0.001,64,7636.516931714058,18
0.0001,"[128, 64]",0.3,AdamW,ReduceLROnPlateau,0.0001,32,7676.035956265303,19
0.0001,"[128, 64]",0.3,AdamW,ReduceLROnPlateau,0.0001,64,7559.12137232464,41
0.0001,"[128, 64]",0.3,AdamW,ReduceLROnPlateau,0.001,32,7697.594614575376,27
0.0001,"[128, 64]",0.3,AdamW,ReduceLROnPlateau,0.001,64,7563.611577808661,23
0.0001,"[64, 32]",0.2,Adam,,0.0001,32,7758.454857510168,13
0.0001,"[64, 32]",0.2,Adam,,0.0001,64,7590.215341259764,32
